# Phase C verification cases for middleware 410 + redirect behavior (CC-PACKET-RMGD-001).
# Each row is curl -sI {PREVIEW_URL}{path} → expected status + redirect target if 308.
# Refinement 2 coverage: .html, .htm, _next/static, api, favicon.ico, robots.txt, sitemap.xml, .well-known/*.
test_path	expected_status	expected_location	rationale
/2022-lucy-has-a-home	308	/adoption-successes/2022	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2022-lucy-has-a-home-2	308	/adoption-successes/2022	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2023-finlee-has-a-home	308	/adoption-successes/2023	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2023-lucy-has-a-home	308	/adoption-successes/2023	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-athena-harl-has-a-home	308	/adoption-successes/2024	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-blu-has-a-home	308	/adoption-successes/2024	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-blue-blue-has-a-home	308	/adoption-successes/2024	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-echo-has-a-home	308	/adoption-successes/2024	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-korbin-has-a-home	308	/adoption-successes/2024	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-magggie-has-a-home	308	/adoption-successes/2024	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-malakai-has-a-home	308	/adoption-successes/2024	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-nova-has-a-home	308	/adoption-successes/2024	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-sailor-has-a-home	308	/adoption-successes/2024	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
/2024-salem-has-a-home	308	/adoption-successes/2024	unmatched_slug_to_year fallback to year archive (operator may treat as low-confidence)
